Time,Altitude,Position East of launch,Position North of launch
19.700000000,2940.491000000,-7.143000000,-8.379000000
19.750000000,2942.195000000,-7.097000000,-8.261000000
19.800000000,2943.874000000,-7.051000000,-8.143000000
19.850000000,2945.527000000,-7.004000000,-8.025000000
19.900000000,2947.155000000,-6.958000000,-7.907000000
19.950000000,2948.758000000,-6.912000000,-7.790000000
20.000000000,2950.335000000,-6.867000000,-7.674000000
20.050000000,2951.888000000,-6.821000000,-7.557000000
20.100000000,2953.414000000,-6.776000000,-7.442000000
20.150000000,2954.916000000,-6.730000000,-7.326000000
20.200000000,2956.393000000,-6.685000000,-7.211000000
20.250000000,2957.844000000,-6.641000000,-7.097000000
20.300000000,2959.270000000,-6.596000000,-6.982000000
20.350000000,2960.671000000,-6.552000000,-6.868000000
20.400000000,2962.047000000,-6.507000000,-6.754000000
20.450000000,2963.398000000,-6.462000000,-6.639000000
20.500000000,2964.725000000,-6.416000000,-6.523000000
20.550000000,2966.027000000,-6.371000000,-6.406000000
20.600000000,2967.304000000,-6.324000000,-6.287000000
20.650000000,2968.557000000,-6.277000000,-6.168000000
20.700000000,2969.785000000,-6.230000000,-6.048000000
20.750000000,2970.988000000,-6.183000000,-5.927000000
20.800000000,2972.167000000,-6.135000000,-5.805000000
20.850000000,2973.322000000,-6.086000000,-5.682000000
20.900000000,2974.451000000,-6.038000000,-5.559000000
20.950000000,2975.557000000,-5.989000000,-5.435000000
21.000000000,2976.637000000,-5.939000000,-5.310000000
21.050000000,2977.693000000,-5.890000000,-5.185000000
21.100000000,2978.725000000,-5.840000000,-5.059000000
21.150000000,2979.731000000,-5.790000000,-4.933000000
21.200000000,2980.713000000,-5.740000000,-4.807000000
21.250000000,2981.671000000,-5.690000000,-4.680000000
21.300000000,2982.604000000,-5.640000000,-4.553000000
21.350000000,2983.512000000,-5.590000000,-4.425000000
21.400000000,2984.396000000,-5.539000000,-4.298000000
21.450000000,2985.255000000,-5.489000000,-4.170000000
21.500000000,2986.089000000,-5.438000000,-4.043000000
21.550000000,2986.899000000,-5.388000000,-3.915000000
