Time,Altitude,Position East of launch,Position North of launch
19.550000000,2935.330000000,-6.305000000,-7.331000000
19.600000000,2937.108000000,-6.257000000,-7.212000000
19.650000000,2938.861000000,-6.209000000,-7.092000000
19.700000000,2940.589000000,-6.161000000,-6.972000000
19.750000000,2942.292000000,-6.113000000,-6.851000000
19.800000000,2943.969000000,-6.065000000,-6.730000000
19.850000000,2945.621000000,-6.016000000,-6.609000000
19.900000000,2947.248000000,-5.968000000,-6.488000000
19.950000000,2948.850000000,-5.920000000,-6.368000000
20.000000000,2950.426000000,-5.872000000,-6.248000000
20.050000000,2951.977000000,-5.824000000,-6.128000000
20.100000000,2953.503000000,-5.776000000,-6.009000000
